catalogNumber,recordedBy,individualCount,lifeStage,preparations,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,scientificName,eventId,eventDate,beginDate,endDate,verbatimEventDate,continent,country,stateProvince,locality,latitude,longitude,verbatimLatitude,verbatimLongitude,samplingProtocol,eventRemarks
ROME206252,Doug Currie,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Metacnephia,bilineata,"(Rubtsov, 1940)","Metacnephia bilineata (Rubtsov, 1940)",ROM002003203,2003-07-10,2003-07-10,2003-07-10,10 Jul 2003,North America,Canada,Nunavut,Maguse River,61.2998833,-94.0801833,"61°17.993'0""N","94°4.811'0""W",Aquatic,immature blackflies
ROME206253,P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Metacnephia,bilineata,"(Rubtsov, 1940)","Metacnephia bilineata (Rubtsov, 1940)",ROM002010226,2010-07-18,2010-07-18,2010-07-18,18 Jul 2010,North America,Canada,Nunavut,"Sylvia Grinnell Territorial Park. Sylvia Grinnell R, 14m str",63.7650833,-68.5808333,63°45.905'N,68°34.85'W,,
ROME206254,P. Schaefer,50,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Metacnephia,bilineata,"(Rubtsov, 1940)","Metacnephia bilineata (Rubtsov, 1940)",ROM002010227,2010-07-18,2010-07-18,2010-07-18,18 Jul 2010,North America,Canada,Nunavut,"Airport Cr near end of Upperbase Rd, 5m str",63.7905333,-68.5673667,63°47.432'N,68°34.042'W,,
ROME206255,Doug Currie,3,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Metacnephia,saskatchewana,"(Shewell & Fredeen, 1958)","Metacnephia saskatchewana (Shewell & Fredeen, 1958)",ROM002003203,2003-07-10,2003-07-10,2003-07-10,10 Jul 2003,North America,Canada,Nunavut,Maguse River,61.2998833,-94.0801833,"61°17.993'0""N","94°4.811'0""W",Aquatic,immature blackflies
ROME206256,Doug Currie,1,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Metacnephia,saskatchewana,"(Shewell & Fredeen, 1958)","Metacnephia saskatchewana (Shewell & Fredeen, 1958)",ROM002003204,2003-07-10,2003-07-10,2003-07-10,10 Jul 2003,North America,Canada,Nunavut,warm tributary of Maguse River,61.299,-94.0852667,"61°17.94'0""N","94°5.116'0""W",Aquatic,"temp 17°C,  immature blackflies"
ROME206257,DJ Giberson,10,Exuviae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,fuscum,"Syme & Davies, 1958","Prosimulium fuscum Syme & Davies, 1958",ROM002010366,2010-07-02,2010-07-02,2010-07-02,2 Jul 2010,North America,Canada,Quebec,Small stream 15 km NE of town,54.9439167,-67.0320833,54°56.635'N,67°1.925'W,General,
ROME206258,DJ Giberson,10,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,fuscum,"Syme & Davies, 1958","Prosimulium fuscum Syme & Davies, 1958",ROM002010372,2010-07-01,2010-07-01,2010-07-01,1 Jul 2010,North America,Canada,Quebec,"Small stream, 5 km S of town",54.7774333,-66.8259333,54°46.646'N,66°49.556'W,General,
ROME206259,P. Schaefer,2,Exuviae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,fuscum,"Syme & Davies, 1958","Prosimulium fuscum Syme & Davies, 1958",ROM002011168,2011-06-09,2011-06-09,2011-06-09,9 Jun 2011,North America,Canada,Northwest Territories,"Boundary Creek at crossing with Hwy.3, 34km west of Yellowknife",62.5346,-114.97095,62°32.076'N,114°58.257'W,General,
ROME206260,Doug Currie; P. Schaefer,1,Adults,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,mixtum,"Syme & Davies, 1958","Prosimulium mixtum Syme & Davies, 1958",ROM002010245,2010-06-20,2010-06-20,2010-06-20,20 Jun 2010,North America,Canada,Ontario,"Store Creek ca. 1.2 km upstream of railway bridge on left bank trail, 7.5 m wide",51.2792167,-80.66145,51°16.753'N,80°39.687'W,Aquatic,Prosimulium mixtum biting
ROME206261,C. Buddle,20,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,mixtum,"Syme & Davies, 1958","Prosimulium mixtum Syme & Davies, 1958",ROM002010376,2010-06-16,2010-06-16,2010-06-16,16 Jun 2010,North America,Canada,Newfoundland and Labrador,fast flow culvert under NW River Rd. 2 km north of junction with Grand Lakes Rd.,53.4136833,-60.4124167,53°24.821'N,60°24.745'W,General,
ROME206262,C. Buddle,50,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,mixtum,"Syme & Davies, 1958","Prosimulium mixtum Syme & Davies, 1958",ROM002010378,2010-06-17,2010-06-17,2010-06-17,17 Jun 2010,North America,Canada,Newfoundland and Labrador,"1.5m stream, 4 km along road which exits Grand Lakes Rd. 26 km from junction with NW River Rd.",53.5498833,-60.6881833,53°32.993'N,60°41.291'W,General,
ROME206263,C. Buddle,50,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,mixtum,"Syme & Davies, 1958","Prosimulium mixtum Syme & Davies, 1958",ROM002010379,2010-06-17,2010-06-17,2010-06-17,17 Jun 2010,North America,Canada,Newfoundland and Labrador,"2m stream, 17 km along Grand Lakes Rd from Junction with NW River Rd.",53.4797833,-60.6005333,53°28.787'N,60°36.032'W,General,
ROME206264,P. Schaefer,50,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010225,2010-07-17,2010-07-17,2010-07-17,17 Jul 2010,North America,Canada,Nunavut,"Hillside trickle near Road to Nowhere, tributary of Apex R, 20cm str",63.7512167,-68.4592667,63°45.073'N,68°27.556'W,Aquatic,
ROME206265,P. Schaefer,2,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010226,2010-07-18,2010-07-18,2010-07-18,18 Jul 2010,North America,Canada,Nunavut,"Sylvia Grinnell Territorial Park. Sylvia Grinnell R, 14m str",63.7650833,-68.5808333,63°45.905'N,68°34.85'W,,
ROME206266,P. Schaefer,5,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010227,2010-07-18,2010-07-18,2010-07-18,18 Jul 2010,North America,Canada,Nunavut,"Airport Cr near end of Upperbase Rd, 5m str",63.7905333,-68.5673667,63°47.432'N,68°34.042'W,,
ROME206267,P. Schaefer,4,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010228,2010-07-18,2010-07-18,2010-07-18,18 Jul 2010,North America,Canada,Nunavut,"Sylvia Grinnell Territorial Park. Trickle into a tundra pond in park, 50cm stream",63.7565333,-68.5757833,63°45.392'N,68°34.547'W,,
ROME206268,P. Schaefer,30,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010232,2010-07-19,2010-07-19,2010-07-19,19 Jul 2010,North America,Canada,Nunavut,"Trib of Airport Cr. At Upperbase road, 50cm stream",63.7904833,-68.5654833,63°47.429'N,68°33.929'W,,
ROME206269,P. Schaefer,15,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010233,2010-07-19,2010-07-19,2010-07-19,19 Jul 2010,North America,Canada,Nunavut,"Pond outflow on Upperbase road, 75cm str",63.7811167,-68.5508667,63°46.867'N,68°33.052'W,,
ROME206270,P. Schaefer,10,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010234,2010-07-19,2010-07-19,2010-07-19,19 Jul 2010,North America,Canada,Nunavut,"Trib of Apex R at junction Apex R and Road to Nowhere, 3m str",63.7591833,-68.4576833,63°45.551'N,68°27.461'W,,
ROME206271,P. Schaefer,20,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010236,2010-07-19,2010-07-19,2010-07-19,19 Jul 2010,North America,Canada,Nunavut,"Trickle across Road to Nowhere ca. 1km from town, 50-100mm stream",63.7510167,-68.4722833,63°45.061'N,68°28.337'W,,
ROME206272,P. Schaefer,1,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010237,2010-07-20,2010-07-20,2010-07-20,20 Jul 2010,North America,Canada,Nunavut,"Sylvia Grinnell Territorial Park. Tundra pond outflow in park, 75cm stream",63.7563333,-68.5770167,63°45.38'N,68°34.621'W,,
ROME206273,P. Schaefer,10,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010230,2010-07-19,2010-07-19,2010-07-19,19 Jul 2010,North America,Canada,Nunavut,"Trickle originating from snow melt at end of Upperbase road, 50-100mm stream",63.7934833,-68.56625,63°47.609'N,68°33.975'W,,
ROME206274,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010238,2010-07-22,2010-07-22,2010-07-22,22 Jul 2010,North America,Canada,Nunavut,"Uphill Pond outflow, trib of Apex R., 30cm stream",63.757,-68.4738167,63°45.42'N,68°28.429'W,,
ROME206275,P. Schaefer,5,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002010239,2010-07-23,2010-07-23,2010-07-23,23 Jul 2010,North America,Canada,Nunavut,"Sylvia Grinnell Territorial Park. Sylvia Grinnell R. at waterfall/rapids., 10m stream",63.7432833,-68.5697167,63°44.597'N,68°34.183'W,,
ROME206276,P. Schaefer,10,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,ursinum,"(Edwards, 1935)","Prosimulium ursinum (Edwards, 1935)",ROM002011183,2011-07-01,2011-07-01,2011-07-01,1 Jul 2011,North America,Canada,Nunavut,Tributary to Rae River,67.9199833,-115.66475,67°55.199'N,115°39.885'W,General,
ROME206277,P. Schaefer,1,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,anatinum/congareenarum,,Simulium anatinum/congareenarum ,ROM002011169,2011-06-09,2011-06-09,2011-06-09,9 Jun 2011,North America,Canada,Northwest Territories,"Beaver Pond Outflow, at crossing with Hwy.3, 28km west of Yellowknife",62.5245667,-115.2060667,62°31.474'N,115°12.364'W,General,
ROME206278,P. Schaefer,4,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,anatinum/congareenarum,,Simulium anatinum/congareenarum ,ROM002011165,2011-06-08,2011-06-08,2011-06-08,8 Jun 2011,North America,Canada,Northwest Territories,"30cm Lake Outflow, km50 of Ingraham Trail",62.5262667,-113.8377167,62°31.576'N,113°50.263'W,General,
ROME206279,P. Schaefer,2,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,annulus,"(Lundström, 1911)","Simulium annulus (Lundström, 1911)",ROM002011180,2011-06-28,2011-06-28,2011-06-28,28 Jun 2011,North America,Canada,Nunavut,Coppermine River at Bloody Falls,67.7482833,-115.3685833,67°44.897'N,115°22.115'W,General,
ROME206280,P. Schaefer,40,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,arcticum,"Malloch, 1914","Simulium arcticum Malloch, 1914",ROM002011180,2011-06-28,2011-06-28,2011-06-28,28 Jun 2011,North America,Canada,Nunavut,Coppermine River at Bloody Falls,67.7482833,-115.3685833,67°44.897'N,115°22.115'W,General,
ROME206281,P. Schaefer,5,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,arcticum,"Malloch, 1914","Simulium arcticum Malloch, 1914",ROM002011163,2011-06-08,2011-06-08,2011-06-08,8 Jun 2011,North America,Canada,Northwest Territories,Cameron River at crossing with Ingraham Trail,62.4923833,-113.5469333,62°29.543'N,113°32.816'W,General,
ROME206282,Doug Currie,5,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002003205,2003-07-11,2003-07-11,2003-07-11,11 Jul 2003,North America,Canada,Nunavut,S. Arviat,60.9741167,-94.2026333,"60°58.447'0""N","94°12.158'0""W",Aquatic,"temp 10°C,  immature blackflies"
ROME206283,Doug Currie; P. Schaefer,6,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012200,2012-07-22,2012-07-22,2012-07-22,22 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 0.75m wide, warm pond outflow immediately E. twin bridges",69.1254833,-104.9987333,69°7.529'N,104°59.924'W,Aquatic,"Site 1:  warm clear water, rock and veg substrate, med flow, 11°C."
ROME206284,Doug Currie; P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012202,2012-07-23,2012-07-23,2012-07-23,23 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 0.2m wide outlet to small tundra pond near Mt. Pelly park gate",69.1847167,-104.7621333,69°11.083'N,104°45.728'W,Aquatic,"Site 4:  ~150m long, clear, rock and grass substrate, slow flow, 12°C"
ROME206285,Doug Currie; P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012205,2012-07-24,2012-07-24,2012-07-24,24 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 0.2-0.3m wide pond outflow along beach west of town",69.1541833,-105.5384167,69°9.251'N,105°32.305'W,Aquatic,"Site 7:  clear water, slow to moderate flow, mostly grass some rock substrate, 15°C"
ROME206286,Doug Currie; P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012206,2012-07-24,2012-07-24,2012-07-24,24 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 0.50-0.75m wide pond outflow along beach west of town",69.1545667,-105.5398167,69°9.274'N,105°32.389'W,Aquatic,"Site 8:  clear water, slow to moderate flow, mostly grass some rock substrate, 16°C"
ROME206287,Doug Currie; P. Schaefer,20,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012208,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 1.0-1.5m wide outlet tundra pond near DEW line station",69.1195,-105.1278,69°7.17'N,105°7.668'W,Aquatic,"Site 10:  clear water, slow to moderate flow, rock and veg substrate, 12°C"
ROME206288,Doug Currie; P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,baffinense,"Twinn, 1936","Simulium baffinense Twinn, 1936",ROM002012214,2012-07-27,2012-07-27,2012-07-27,27 Jul 2012,North America,Canada,Nunavut,2-4m wide inflow to Mad Dog Lake,69.3639,-108.75045,69°21.834'N,108°45.027'W,Aquatic,"Site 16:  tumbling stream, clear water, fast flow, mostly rock substrate, 10°C"
