Sample,Date set,Date collected,Collector,Site,Sample type collection method,Lat,Long,Elevation (m),Habitat type,Sample current location,Notes,SHIPPING INFO,Specimen Count,OWNER,,,,
CBAY0013,,26-Jun-24,"D. Nowosad, D. Gillis",Kuugaq pond,D-ring dipnet (250 micron),69.11837,-104.0694,,Pond,CBG,Re-sample from previous years,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",0,,,,,
CBAY0014,,26-Jun-24,"D. Nowosad, D. Gillis",Kuugaq pond,Plankton net (64 micron),69.11837,-104.0694,,Pond,CBG,Re-sample from previous years,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",,,,,,
CBAY0021,,21-Jul-24,D. Nowosad,Between 1st lake and grenier,Surber net,69.204444,-104.773889,10,River,CBG,"Deployed at 1:06pm 
pulled at 2:06pm","Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225",1 black fly larva,,,,,
CBAY0020,,21-Jul-24,D. Nowosad,Between 1st lake and grenier,D-ring dipnet (250 micron),69.20555,-104.78194,10,River,CBG,,"Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225",651 black fly larvae,,,,,
CBAY0048,21-Jul-24,,D. Nowosad,Between 1st lake and grenier,Malaise trap,69.20535,-104.77646,10,Terrestrial,CBG,,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222","1228 adult black flies
1 adult mosquito",,,,,
CBAY0043,21-Jul-24,,D. Nowosad,Stream south of Pelly Road,Malaise trap,69.12861,-104.98722,10,Terrestrial,CBG,,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222","275 Adult black flies, 31 adult mosquitos ",,,,,
CBAY0030,,24-Jul-24,"D. Nowosad, O.Colman",Freshwater river by picnic area,Surber net,69.132438,-104.988833,8,River,CBG,"Deployed 11:25am,
 taken out 12:25pm","Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225",171 black fly larvae,,,,,
CBAY0028,,24-Jul-24,"D. Nowosad, O.Colman",Freshwater river by picnic area,Sweep net,69.132231,-104.988717,8,Terrestrial,CBG,"5 min in vegetation, 
very windy day","Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225",0,,,,,
CBAY0029,,24-Jul-24,D. Nowosad,Freshwater river by picnic area,D-ring dipnet (250 micron),69.132486,-104.988703,9,River,CBG,,"Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225",35 black fly larvae,,,,,
CBAY0027,25-Jul-24,01-Aug-24,"D. Nowosad, O.Colman",Dew Line Rd,Malaise trap,69.132477,-104.988683,24,Terrestrial,CBG,Set at 2:20pm,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","333 black fly adults, 14 adult Mosquitos",,,,,
CBAY0022,,25-Jul-24,"D. Nowosad, O.Colman,",Dew Line Rd,Sweep net,69.132477,-104.988683,24,Terrestrial,CBG,5min in vegetation,"Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225",41 black fly adults,,,,,
CBAY0037,,25-Jul-24,D. Nowosad,Stream Dew Line Rd,D-ring dipnet (250 micron),69.158318,-105.180284,24,River,CBG,"Saw black fly
 larva and pupa","Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225","121 black fly larvae
5 black fly pupa",,,,,
CBAY0036,,25-Jul-24,"D. Nowosad, 
O.Colman","1st creek/the 
ravine",Sweep net,69.132925,-105.461572,24,Terrestrial,CBG,"5 min, did a small 
elevation gradient, 
very windy","Shipped July 29 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090155462225","6 black fly adults
19 mosquito adults",,,,,
CBAY0025,25-Jul-24,31-Jul-24,"D. Nowosad, 
O.Colman",,Malaise trap,69.158448,-105.190938,8,Terrestrial,Mail,"Went into the ravine
 below","Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","1 black fly adult
15 mosquito adults",,,,,
CBAY0026,,28-Jul-24,D. Nowosad,Freshwater river ,D-ring dipnet (250 micron),69.12595,-105.070236,20,River,CBG,,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",253 black fly larvae,,,,,
CBAY0039,,28-Jul-24,O. Colman,Freshwater river ,Sweep net,69.130466,-104.996363,5,Terrestrial,CBG,5min in vegetation,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222","5 adult black fly, 22 adult mosquitos",,,,,
CBAY0040,,28-Jul-24,O. Colman,Freshwater river ,Sweep net,69.120943,-105.042616,,Terrestrial,CBG,5min in vegetation,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222","63 adult mosquitos, 17 adult black flies ",,,,,
CBAY0033,,28-Jul-24,D. Nowosad,Inland area,Sweep net,69.134216,-104.989923,13,Terrestrial,CBG,5min in vegetation,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222","31 adult mosquitoes
1 adult black fly",,,,,
CBAY0032,,28-Jul-24,O. Colman,DEW Line Road,Sweep net,69.11926,-105.127426,24,Terrestrial,CBG,5min in vegetation,"Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222","245 adult blackflies
13 adult mosquitoes",,,,,
CBAY0017,,07-Jun-24,Cassia,Kitigak river,Surber net,,,,River,CBG,"Site 1 - 
deployed at 2:40-3:20","Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",13 black fly larvae,,,,,
CBAY0019,,07-Jun-24,Cassia,Kitigak river,Surber net,,,,River,CBG,"Site 2- 
deployed at 4:50-5:30","Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",0,,,,,
CBAY0038,,29-Jul-24,"D. Nowosad, 
O. Colman","Creek south of 
Pelly Road 
by swimming 
hole ",Surber net,69.119246,-105.127423,,River,CBG,"Deployed 
2:45pm - 5:03pm","Shipped July 30 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090184988222",95 black fly larvae,,,,,
CBAY0056,25-Jul-24,31-Jul-24,D. Nowosad,First creek,Malaise trap,69.13281,-105.4632,12,Terrestrial,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",23 adult mosquitoes,,,,,
CBAY0047,,31-Jul-24,O. Colman,First creek,Sweep net,69.133033,-105.462978,12,Terrestrial,CBG,"Resample 1 - first
sample on July 25","Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",1 black fly adult,,,,,
CBAY0049,,31-Jul-24,O. Colman,First creek,D-ring dipnet (250 micron),69.13244,-105.413377,12,River,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",0,,,,,
CBAY0024,,31-Jul-24,O. Colman,Augustus Hills,D-ring dipnet (250 micron),69.121001,-105.437764,77,Pond,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",0,,,,,
CBAY0031,,31-Jul-24,D. Nowosad,Augustus Hills,Plankton net (64 micron),69.121001,-105.437764,77,Pond,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",,,,,,
CBAY0050,,01-Aug-24,O. Colman,DEW Line Road,Sweep net,69.158205,-105.190377,15,Terrestrial,CBG,"Can't see any black
 fly larva or pupa in
 stream next to this 
sample area - caught 
some here 1 week 
ago - appears they
 are all 
adults now
Resample 1 - 
first 
sample on July 25","Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","56 adult black flies
1 adult mosquito",,,,,
CBAY0044,,01-Aug-24,O. Colman,DEW Line Road,Sweep net,69.167666,-105.195481,32,Terrestrial,CBG,"Windy, no flying
 insects bothering us","Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",,,,,,
CBAY0041,,01-Aug-24,D.Nowosad,DEW Line Road,Sweep net,69.147755,-105.1927579,36,Terrestrial,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",1 adult mosquito,,,,,
CBAY0046,,01-Aug-24,D. Nowosad,DEW Line Road,Sweep net,69.119312,-105.127489,22,Terrestrial,CBG,"Resample 1 - 
first sample on 
July 28","Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",53 black fly adults,,,,,
CBAY0054,,02-Aug-24,O. Colman,Pelly Road,Sweep net,69.152192,-104.913481,20,,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",0,,,,,
CBAY0059,,02-Aug-24,D. Nowosad,Pelly Road,Plankton net (64 micron),69.153455,-104.913307,20,,CBG,Pelly Road resample,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",,,,,,
CBAY0023,,02-Aug-24,D.Nowosad,Pelly Road,D-ring dipnet (250 micron),69.153455,-104.913307,20,,CBG,Pelly Road resample,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",0,,,,,
CBAY0055,,02-Aug-24,O. Colman,Pelly Road,Sweep net,69.14212,-104.947332,18,River,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","2233 adult black flies, 2 adult mosquitos ",,,,,
CBAY0060,,02-Aug-24,O. Colman,Freshwater river ,Sweep net,69.132277,-104.988613,11,River,CBG,"Resample 1 - 
picnic area","Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","11 adult mosquitoes
3 adult black flies",,,,,
CBAY0035,,02-Aug-24,O. Colman,"Swimming hole 
South of Pelly
Road",Sweep net,69.128939,-104.994109,6,River,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","14 adult mosquitos, 46 adult black flies ",,,,,
CBAY0069,,03-Aug-24,O. Colman,"Gravel pit/
west arm",Sweep net,69.090294,-105.225557,,Terrestrial,CBG,Close to ocean,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","1 adult black fly
1 adult mosquito",,,,,
CBAY0061,,03-Aug-24,O. Colman,"Gravel pit/
west arm",Sweep net,69.092068,-105.2498,6,Terrestrial,CBG,Close to ocean,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",0,,,,,
CBAY0067,,03-Aug-24,O. Colman,Gravel pit,Sweep net,69.096233,-105.274031,19,Terrestrial,CBG,Seasonal creek,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",1 adult black fly,,,,,
CBAY0068,,03-Aug-24,O. Colman,West arm,Sweep net,69.099735,-105.227898,5,Terrestrial,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",2 adult mosquitoes,,,,,
CBAY0073,,05-Aug-24,O. Colman,"Between 1st
lake and 
Grenier",Sweep net,69.20527778,-104.7755556,10,River,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",164 adult black flies,,,,,
CBAY0042,29-Jul-24,05-Aug-24,D. Nowosad,"Between 1st
lake and 
Grenier",Malaise trap,69.20535,-104.77646,10,River,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","13,639 adult black flies",,,,,
CBAY0072,,05-Aug-24,O. Colman,"2nd Culvert
Pelly Road",Sweep net,69.17888889,-104.8227778,10,Terrestrial,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",5 adult mosquitoes,,,,,
CBAY0071,,05-Aug-24,D. Nowosad,"Freshwater river 
Pelly Road",Sweep net,69.14305556,-104.9475,20,River,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",2373 adult black flies,,,,,
CBAY0062,,05-Aug-24,O. Colman,"Creek south of 
Pelly Road 
by swimming 
hole ",Sweep net,69.12861111,-104.9897222,0,River,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","3 adult mosquitoes
2 adult black flies",,,,,
CBAY0066,,05-Aug-24,O. Colman,Past old town,Sweep net,69.11194444,-104.9858333,10,Terrestrial,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",4 adult mosquitoes,,,,,
CBAY0034,29-Jul-24,05-Aug-24,O. Colman,"Creek South of 
Pelly Road",Malaise trap,69.128611,-104.987222, ,River,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","2375 adult black flies
29 adult mosquitoes
","1 black fly that 
Esmaeil is 
sequencing that 
has mites on it
- potential
 parasitic mite",omggg y'all are heros for counting these,,,
CBAY0065,,07-Aug-24,O. Colman,"DEW Line Road
Freshwater 
creek",Sweep net,69.121222,-105.045298,5,,CBG,"Resample 2 -first 
sample July 25,
seond August 1","Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",70 adult black flies,,,,,
CBAY0070,,07-Aug-24,O. Colman,"Near DEW Line
station
near seasonal
creek",Sweep net,69.119088,-105.27378,20,,CBG,"Resample 2 -first 
sample July 28,
seond August 1","Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","1 adult mosquitoes
2 adult black flies",,,,,
CBAY0078,,07-Aug-24,O. Colman,"1st creek near
ravine",Sweep net,69.132886,-105.463173,13,,CBG,"Lot's of mosquitoes
no notable black
flies landing on us
Resample 2 - first 
sample July 25,
second August
1","Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","12 adult mosquitoes
3 adult black flies",,,,,
CBAY0052,01-Aug-24,07-Aug-24,D. Nowosad,DEW Line Road,Malaise trap,69.132477,-104.988683,,,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222",1337 adult black flies 9 adult mosquitos ,,,,,
CBAY0045,31-Jul-24,07-Aug-24,D. Nowosad,1st creek,Malaise trap,69.13281,-105.4632,,,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","6 adult mosquitoes
22 adult black flies",,,,,
CBAY0051,31-Jul-24,07-Aug-24,D. Nowosad,"Creek by long 
point beach",Malaise trap,69.158448,-105.19093,8,,CBG,,"Shipped August 8 - 
express post - 
expected arrival 7
 business days
Tracking number: 
0690090351441222","10 adult black flies
5 adult mosquitoes",,,,,
KGLTK0001,25-Jul,25-Jul,B. Taptuna,the beach,DipNet,67 49.7303,67.82884,115 05.7413,-115.096,0m,CBG,,Shipped Aug 15 - 0690368500089220,2:35 PM,2:40 PM,KAA,0,
KGLTK0002,25-Jul,25-Jul,B. Taptuna,heart Lake,DipNet,67 48.5069,67.80845,115 12.4615,-115.208,32m,CBG,,Shipped Aug 15 - 0690368500089220,1:55 PM,2:00 PM,KAA,0,
KGLTK0003,31-Jul,07-Aug,"B. Taptuna, D.Hokanak",other side of Heart Lake,Malaise trap,67 48. 2830,67.80472,115 13.8697,-115.231,47m,CBG,,Shipped Aug 15 - 0690368500089220,2:15 PM,1:55 PM,KAA,"7 mosquitoes, 4 black flies",
KGLTK0008,31-Jul,08-Aug,"B. Taptuna, D.Hokanak",Trail to 4 mile bay,Malaise trap,67 49. 4286,67.82381,115 09.0514,-115.151,105m,CBG,,Shipped Aug 15 - 0690368500089220,1:50 PM,10:55 AM,KAA,"13 mosquitoes, 10 black flies",
KGLTK0010,31-Jul,08-Aug,"B. Taptuna, D.Hokanak",behind town,Malaise trap,67 48. 5989,67.80998,115 07.5302,-115.126,3m,CBG,,Shipped Aug 15 - 0690368500089220,3:00 PM,10:35 AM,KAA,"1 mosquito, 9 black flies ",
KGLTK0011,16-Jul,16-Jul,B. Taptuna,HTO,Malaise trap,67 49.4917,67.82486,115 05.3935,-115.09,29m,HTO,TRAINING SAMPLE,Shipped Aug 15 - 0690368500089220,,,KAA,,
KGLTK0004,16-Jul,16-Jul,B. Taptuna,HTO,SweepNet,67 49.4903,67.82484,115 05.3942,-115.09,0m,CBG,TRAINING SAMPLE,Shipped Aug 15 - 0690368500089220,,,KAA,,
KGLTK0014,22-Jul,30-Jul,B. Taptuna,4 mile bay,Malaise trap,67 49.2122,67.8202,115 05.0807,-115.085,0m,CBG,First trap set out,Shipped Aug 15 - 0690368500089220,3:00 PM,2:00 PM,KAA,"7 mosquitoes, 3 black flies",
KGLTK0015,25-Jul,31-Jul,B. Taptuna,on 4 mile trail by a pod,Malaise trap,67 49.3977,67.8233,115 09.0248,-115.15,11m,CBG,Last Malaise trap,Shipped Aug 15 - 0690368500089220,11:20 AM,1:50 PM,KAA,"11 mosqutioes, 7 black flies ",
KGLTK0016,17-Jul,17-Jul,B. Taptuna D. Nowosad J. Simonson D. Hokanak,HTO,SurberNet,67 49.4940,67.8249,115 05.3930,-115.09,0m,HTO,TRANING SAMPLE,Shipped Aug 15 - 0690368500089220,10:40 AM,11:05 AM,KAA,0,
KGLTK0017,17-Jul,17-Jul,B. Taptuna D. Nowosad J. Simonson D. Hokanak,HTO,DipNet,67 49.4940,67.8249,115 05.3930,-115.09,0m,CBG,TRANING SAMPLE,Shipped Aug 15 - 0690368500089220,,,KAA,0,
KGLTK0018,24-Jul,31-Jul,B. Taptuna,behind town,Malaise trap,67 48.5939,67.8099,115 07.5350,-115.126,7m,CBG,3rd tarp set,Shipped Aug 15 - 0690368500089220,4:30 PM,3:00 PM,KAA,"4 mosquitoes, 8 black flies ",
KGLTK0019,24-Jul,Juy 31,B. Taptuna,other side of Heart Lake,Malaise trap,67 51.0830,67.85138,115 16.3340,-115.272,0m,CBG,2nd trap set,Shipped Aug 15 - 0690368500089220,2:50 PM,3:00 PM,KAA,"5 mosquitoes, 6 black flies ",
KGLTK0020,24-Jul,24-Jul,B. Taptuna,other side of Heart Lake,SweepNet,67 48.2870,67.80478,115 13.9394,-115.232,30m,CBG,first sweepnet,Shipped Aug 15 - 0690368500089220,3:10 PM,3:15 PM,KAA,"1 mosquito, 1 black fly ",
KGLTK0032,30-Jul,06-Aug,B. Taptuna,4 mile bay,Malaise trap,67 49.7282,67.8288,115 05.7444,-115.096,0m,CBG,,Shipped Aug 15 - 0690368500089220,1:50 PM,11:40 AM,KAA,"3 mosquitoes, 5 black flies ",
KGLTK0033,31-Jul,31-Jul,"B. Taptuna, D. Hokanak",behind town,sweep net,67 48. 5975,,115 07. 5335,,19 m,HTO,,,,,,5 mosquitoes,
KGLTK0034,06-Aug,14-Aug,"B. Taptuna, D.Hokanak",4 Mile Bay,Malaise trap,67 48. 5978,67.80996,115 07. 5427,-115.126,0m,CBG,,Shipped Aug 15 - 0690368500089220,11:40 AM,11:30 AM,KAA,55 black flies (go back and double check ID either male bacl flies or not black flies),
KGLTK0035,07-Aug,14-Aug,"B. Taptuna, D.Hokanak",other sdie of Heart Lake,Malaise trap,67 51. 0828,67.85138,115 16. 3310,-115.272,0m,CBG,,Shipped Aug 15 - 0690368500089220,1:55 PM,1:30 PM,KAA,6 black flies,
KGLTK0036,08-Aug,14-Aug,"B. Taptuna, D. Hokanak",behind town,Malaise trap,67 49. 4971,67.82495,115 05. 3919,-115.09,0m,CBG,,Shipped Aug 15 - 0690368500089220,10:35 AM,2:10 PM,KAA,9 black flies,
