problem samples
KBIMP_01_B7
KBIMP_01_B8
KBIMP_01_B9
KBIMP_01_B10
KBIMP_01_B11
KBIMP_01_B12
KBIMP_01_C1
KBIMP_01_C2
KBIMP_01_C3
KBIMP_01_C4
KBIMP_01_C5
KBIMP_01_C6
KBIMP_01_C7
KBIMP_01_C8
KBIMP_01_C9
KBIMP_01_C10
KBIMP_01_C11
KBIMP_01_C12
KBIMP_01_D1
KBIMP_01_D2
KBIMP_01_D3
KBIMP_01_D4
KBIMP_01_D5
KBIMP_01_D6
KBIMP_01_D7
KBIMP_01_D8
KBIMP_01_D9
KBIMP_01_D10
KBIMP_01_D11
KBIMP_01_D12
KBIMP_01_E1
KBIMP_01_E2
KBIMP_01_E3
KBIMP_01_E4
KBIMP_01_E5
KBIMP_01_E6
KBIMP_01_E7
KBIMP_01_E8
KBIMP_01_E9
KBIMP_01_E10
KBIMP_01_E11
KBIMP_01_E12
KBIMP_01_F1
KBIMP_01_F2
KBIMP_01_F3
KBIMP_01_F4
KBIMP_01_F5
KBIMP_01_F6
KBIMP_01_F7
KBIMP_01_F8
KBIMP_01_F9
KBIMP_01_G1
KBIMP-_005_B4
KBIMP-_005_B5
KBIMP-_005_B6
KBIMP-_005_B7
KBIMP-_005_B8
KBIMP-_005_B9
KBIMP-_005_B10
KBIMP-_005_B11
KBIMP-_005_B12
KBIMP_002_E12
KBIMP_002_F1
KBIMP_002_F2
KBIMP_002_F3
KBIMP_002_F4
KBIMP_002_F5
KBIMP_002_F6
KBIMP_002_F7
KBIMP_002_F8
KBIMP_002_F9
KBIMP_002_C1
KBIMP_002_C2
KBIMP_002_C3
KBIMP_002_C4
KBIMP_002_C5
KBIMP_002_C6
KBIMP_002_C7
KBIMP_002_C8
KBIMP_002_C9
KBIMP_002_B12
