Well,Mosquito concentration ,Black fly concentration ,Onchacerca concentration,Seteria concentration 
KBIMP-_nempos_A1,0,0,0,10
KBIMP-_nempos_A2,10,0,0,10
KBIMP-_nempos_A3,1,0,0,10
KBIMP-_nempos_A4,0.1,0,0,10
KBIMP-_nempos_A5,0.01,0,0,10
KBIMP-_nempos_A6,0,10,0,10
KBIMP-_nempos_A7,0,1,0,10
KBIMP-_nempos_A8,0,0.1,0,10
KBIMP-_nempos_A9,0,0.01,0,10
KBIMP-_nempos_B1,0,0,0,1
KBIMP-_nempos_B2,10,0,0,1
KBIMP-_nempos_B3,1,0,0,1
KBIMP-_nempos_B4,0.1,0,0,1
KBIMP-_nempos_B5,0.01,0,0,1
KBIMP-_nempos_B6,0,10,0,1
KBIMP-_nempos_B7,0,1,0,1
KBIMP-_nempos_B8,0,0.1,0,1
KBIMP-_nempos_B9,0,0.01,0,1
KBIMP-_nempos_C1,0,0,0,0.1
KBIMP-_nempos_C2,10,0,0,0.1
KBIMP-_nempos_C3,1,0,0,0.1
KBIMP-_nempos_C4,0.1,0,0,0.1
KBIMP-_nempos_C5,0.01,0,0,0.1
KBIMP-_nempos_C6,0,10,0,0.1
KBIMP-_nempos_C7,0,1,0,0.1
KBIMP-_nempos_C8,0,0.1,0,0.1
KBIMP-_nempos_C9,0,0.01,0,0.1
KBIMP-_nempos_D1,0,0,0,0.01
KBIMP-_nempos_D2,10,0,0,0.01
KBIMP-_nempos_D3,1,0,0,0.01
KBIMP-_nempos_D4,0.1,0,0,0.01
KBIMP-_nempos_D5,0.01,0,0,0.01
KBIMP-_nempos_D6,0,10,0,0.01
KBIMP-_nempos_D7,0,1,0,0.01
KBIMP-_nempos_D8,0,0.1,0,0.01
KBIMP-_nempos_D9,0,0.01,0,0.01
KBIMP-_nempos_E1,0,0,10,0
KBIMP-_nempos_E2,10,0,10,0
KBIMP-_nempos_E3,1,0,10,0
KBIMP-_nempos_E4,0.1,0,10,0
KBIMP-_nempos_E5,0.01,0,10,0
KBIMP-_nempos_E6,0,10,10,0
KBIMP-_nempos_E7,0,1,10,0
KBIMP-_nempos_E8,0,0.1,10,0
KBIMP-_nempos_E9,0,0.01,10,0
KBIMP-_nempos_F1,0,0,1,0
KBIMP-_nempos_F2,10,0,1,0
KBIMP-_nempos_F3,1,0,1,0
KBIMP-_nempos_F4,0.1,0,1,0
KBIMP-_nempos_F5,0.01,0,1,0
KBIMP-_nempos_F6,0,10,1,0
KBIMP-_nempos_F7,0,1,1,0
KBIMP-_nempos_F8,0,0.1,1,0
KBIMP-_nempos_F9,0,0.01,1,0
KBIMP-_nempos_G1,0,0,0.1,0
KBIMP-_nempos_G2,10,0,0.1,0
KBIMP-_nempos_G3,1,0,0.1,0
KBIMP-_nempos_G4,0.1,0,0.1,0
KBIMP-_nempos_G5,0.01,0,0.1,0
KBIMP-_nempos_G6,0,10,0.1,0
KBIMP-_nempos_G7,0,1,0.1,0
KBIMP-_nempos_G8,0,0.1,0.1,0
KBIMP-_nempos_G9,0,0.01,0.1,0
KBIMP-_nempos_H1,0,0,0.01,0
KBIMP-_nempos_H2,10,0,0.01,0
KBIMP-_nempos_H3,1,0,0.01,0
KBIMP-_nempos_H4,0.1,0,0.01,0
KBIMP-_nempos_H5,0.01,0,0.01,0
KBIMP-_nempos_H6,0,10,0.01,0
KBIMP-_nempos_H7,0,1,0.01,0
KBIMP-_nempos_H8,0,0.1,0.01,0
KBIMP-_nempos_H9,0,0.01,0.01,0
KBIMP-_nempos_A10,10,0,0,0
